,lang,geo
AFG,0.555555556,3061.075624
AGO,0.727272727,4337.251714
ALB,0.533333333,832.9504219
ARE,0.568181818,2995.310241
ARG,0.666666667,7639.214245
AUS,0.463414634,8999.307038
BDI,0.534883721,3944.171527
BEN,0.613636364,2932.257996
BFA,0.558139535,2776.304536
BGD,0.595744681,4535.733063
BGR,0.473684211,915.7492841
BOL,0.666666667,6435.760257
BRA,0.5,5867.34018
BWA,0.648148148,5157.244371
CAF,0.6,3140.342485
CAN,0.351351351,4199.559486
CHE,0,317.1819343
CHL,0.666666667,7784.817736
CHN,0.681818182,4493.913646
CIV,0.609756098,3153.629032
CMR,0.536585366,3031.477162
COD,0.5,3876.947357
COG,0.615384615,3569.044699
COL,0.666666667,5751.704387
COM,0.595744681,4800.425037
CRI,0.615384615,5881.99663
CUB,0.65,5002.381561
CZE,0.432432432,239.7895185
DEU,0,0
DNK,0.534883721,354.7889219
DZA,0.619047619,1664.495402
ECU,0.634146341,6265.081127
EGY,0.595238095,1993.499226
ESP,0.666666667,1004.913118
ETH,0.638297872,3370.051542
FIN,0.625,940.6463949
FRA,0.463414634,507.5196344
GAB,0.511627907,3595.539398
GBR,0.463414634,642.6102414
GHA,0.564102564,3060.780744
GIN,0.595238095,3071.782214
GMB,0.575,2980.187581
GNB,0.585365854,3081.037148
GNQ,0.604166667,3425.126719
GRC,0.575,1001.300228
GTM,0.615384615,5828.495367
HND,0.615384615,5694.097337
HUN,0.555555556,493.7342228
IDN,0.714285714,6849.553035
IND,0.724137931,4200.473246
IRL,0.382352941,803.7004548
IRN,0.538461538,2528.444042
IRQ,0.622222222,2078.583849
ISR,0.242424242,1867.812401
ITA,0.581395349,650.6460497
JPN,0.625,5628.933912
KEN,0.739130435,3888.346434
KHM,0.681818182,5744.741415
KOR,0.784313725,5331.12288
LAO,0.558139535,5250.529181
LBN,0.581395349,1747.849195
LBR,0.475,3298.566703
LKA,0.534883721,4951.827782
LSO,0.714285714,5691.893472
MAR,0.644444444,1610.38629
MDG,0.575,5317.295138
MEX,0.65,5877.239341
MLI,0.666666667,2456.003901
MMR,0.647058824,4866.162589
MNG,0.619047619,3950.484956
MOZ,0.658536585,5064.529521
MRT,0.565217391,2385.16332
MWI,0.581395349,4682.204139
MYS,0.56097561,6064.814646
NAM,0.617021277,5150.717853
NER,0.630434783,2324.974536
NGA,0.619047619,2912.828252
NIC,0.615384615,5776.121358
NLD,0.21875,231.300886
NOR,0.394736842,648.26843
NPL,0.68627451,4032.626895
NZL,0.463414634,11424.13498
OMN,0.62962963,3181.433184
PAK,0.641509434,3297.572076
PAN,0.65,5819.448877
PER,0.666666667,6525.037852
PHL,0.542857143,6418.460332
POL,0.5,377.3927353
PRT,0.5,1213.724066
PRY,0.666666667,6633.511999
ROU,0.5,754.5800978
RUS,0.5,3372.15839
RWA,0.568181818,3847.451028
SAU,0.585365854,2633.705274
SDN,0.595238095,2872.06749
SEN,0.5,2890.380804
SLE,0.547619048,3214.416722
SLV,0.615384615,5881.094504
SOM,0.644444444,3788.810638
SWE,0.452380952,696.3741031
SWZ,0.614035088,5524.742441
SYR,0.581395349,1815.546672
TCD,0.636363636,2512.754529
TGO,0.558139535,2993.878304
THA,0.512195122,5397.930273
TUN,0.512195122,1196.113903
TUR,0.475,1464.842792
TZA,0.545454545,4237.002116
UGA,0.604651163,3672.359422
USA,0.452380952,4890.547701
VEN,0.666666667,5318.464892
VNM,0.68627451,5803.128341
ZAF,0.724637681,5704.30396
ZMB,0.571428571,4569.812078
ZWE,0.62,4985.799287
